Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Raymond Anderson,0,Raaayyyyyyyyyy,2
2,Davey Barendregt,1,Tom de Ruiter,2
3,Tim Swillens,0,Irshaad,2
4,Toon de Vet,2,vinicius duarte,0
5,Harm steenbakkers,0,Dylan Holly,2
6,Aartos Locos,0,Jelle Zwaan,2
7,Tobias van Kersbergen,0,Max Roovers,2
8,Stefan van der List,2,Gianvito Taneburgo,0
9,Floris Stapel,2,Thijs Deckers,1
10,Alexander Hamilton,1,Tim Bunnik,2
11,Roberto van den Elzen,0,Lucas Feliciano,2
12,Mirco Bonati,0,Simon Isphording,2
13,soufian hriz,2,Jose Jiménez Guerrero,1
14,Eef vV,1,Jelle Schneider,2
15,Abe Mulder,2,Rob Lamers,1
16,Bas Hendriks,2,Vanessa Weber,1
17,Noah Westerweel,1,Tijmen van der Kamp,1
18,Rob Kerlin,1,Collin Bos,2
19,Leonardo Paternotte,1,Stefan Pouwelse,2
20,Fernando Tong,0,Michael Joseph Purcell,1
21,Alice Lenting,2,Nicolas Komanski,0
22,Floris Heins,0,Jerryt Boersen,2
23,Tim Laros,0,Jamie March,2
24,Dylan van Gelder,-,-,-
