"Rank","Player","Pts","OW%","GW%","OGW%"
"1","Ross McKendrick","19","0%","0%","0%"
"2","phillip drage","19","0%","0%","0%"
"3","Max Roovers","18","0%","0%","0%"
"4","Hayden Dubock","18","0%","0%","0%"
"5","Ernesto Jacopo Varriale","18","0%","0%","0%"
"6","Kai Schäfer","18","0%","0%","0%"
"7","Mattia Paglino","16","0%","0%","0%"
"8","Iain Ligthart","16","0%","0%","0%"
"9","Kieran Edwards","15","0%","0%","0%"
"10","Dylan van Gelder","15","0%","0%","0%"
"11","Tom de Ruiter","15","0%","0%","0%"
"12","Oscar Jocqué","15","0%","0%","0%"
"13","Morgan Fussell","15","0%","0%","0%"
"14","Marco Lazzari","15","0%","0%","0%"
"15","Simon Isphording","15","0%","0%","0%"
"16","Stefan Gussenhoven","15","0%","0%","0%"
"17","Felix Watermann","15","0%","0%","0%"
"18","Michael Joseph Purcell","15","0%","0%","0%"
"19","Haron Tuin","15","0%","0%","0%"
"20","Jonathan","15","0%","0%","0%"
"21","Tim Bunnik","15","0%","0%","0%"
"22","PotestasNecis","13","0%","0%","0%"
"23","Benjamin Mul","13","0%","0%","0%"
"24","Jelle Schneider","13","0%","0%","0%"
"25","Wilson","13","0%","0%","0%"
"26","Hidde van 't Verlaat","13","0%","0%","0%"
"27","Jörg Vondenhoff","13","0%","0%","0%"
"28","Gus Vanpoucke","13","0%","0%","0%"
"29","Vitaly Svetlov","13","0%","0%","0%"
"30","David Horvath","12","0%","0%","0%"
"31","Julian Dornebusch","12","0%","0%","0%"
"32","Thomas Wood","12","0%","0%","0%"
"33","Leonardo Paternotte","12","0%","0%","0%"
"34","Nicolas Bordenabe","12","0%","0%","0%"
"35","ruben drabbels","12","0%","0%","0%"
"36","Marius Bergwerff","12","0%","0%","0%"
"37","Toon de Vet","12","0%","0%","0%"
"38","Mario Giordano","12","0%","0%","0%"
"39","OwenP","12","0%","0%","0%"
"40","jarno polhuijs","12","0%","0%","0%"
"41","Oscar Francisco","12","0%","0%","0%"
"42","Francesco Agnesi","12","0%","0%","0%"
"43","Tomas Gonzalez","12","0%","0%","0%"
"44","Stefan Pouwelse","12","0%","0%","0%"
"45","Ben van Wijk","12","0%","0%","0%"
"46","Vincent Zwinkels","12","0%","0%","0%"
"47","Neil","12","0%","0%","0%"
"48","Tobias van Kersbergen","12","0%","0%","0%"
"49","Robbert","12","0%","0%","0%"
"50","Marcel Hogewoning","12","0%","0%","0%"
"51","Koen Zuidberg","11","0%","0%","0%"
"52","Alexander Boon","10","0%","0%","0%"
"53","Floris Heins","10","0%","0%","0%"
"54","Patrick Heijna","10","0%","0%","0%"
"55","Timo Vogelfänger","10","0%","0%","0%"
"56","Kai Schutte","10","0%","0%","0%"
"57","Youri van der Zee","9","0%","0%","0%"
"58","Karl Niklas","9","0%","0%","0%"
"59","Youri Bakker","9","0%","0%","0%"
"60","Raven de Bruin","9","0%","0%","0%"
"61","Noah Westerweel","9","0%","0%","0%"
"62","Luiz Francisco Scudelari de Macedo","9","0%","0%","0%"
"63","Mick","9","0%","0%","0%"
"64","Benjamin Haude","9","0%","0%","0%"
"65","Bram Deppenbroek","9","0%","0%","0%"
"66","Lisa-Marie Bliek","9","0%","0%","0%"
"67","Raymond Anderson","9","0%","0%","0%"
"68","Vince kors","9","0%","0%","0%"
"69","Gianluca Ramaccia","9","0%","0%","0%"
"70","Max Moriette-Sala","9","0%","0%","0%"
"71","Tijmen van der Kamp","9","0%","0%","0%"
"72","Cameron Sidhu","9","0%","0%","0%"
"73","Francesco Simonetto","9","0%","0%","0%"
"74","Abe Mulder","9","0%","0%","0%"
"75","Tiff Kraan","9","0%","0%","0%"
"76","Axel Quasten","9","0%","0%","0%"
