"Rank","Player","Pts","OW%","GW%","OGW%"
"1","Ross McKendrick","19","66.67%","76.47%","61.96%"
"2","phillip drage","19","61.77%","86.67%","58.94%"
"3","Max Roovers","18","67.21%","78.57%","62.93%"
"4","Hayden Dubock","18","55.73%","66.67%","55.45%"
"5","Ernesto Jacopo Varriale","18","54.37%","75%","54.69%"
"6","Kai Schäfer","18","52.31%","72.22%","50.52%"
"7","Mattia Paglino","16","57.37%","64.71%","54.26%"
"8","Iain Ligthart","16","49.11%","63.16%","49.18%"
"9","Kieran Edwards","15","66.33%","64.71%","62.08%"
"10","Dylan van Gelder","15","64.63%","68.75%","56.87%"
"11","Tom de Ruiter","15","61.56%","62.5%","58.8%"
"12","Oscar Jocqué","15","59.14%","63.16%","54.1%"
"13","Morgan Fussell","15","57.1%","57.89%","57.08%"
"14","Marco Lazzari","15","56.07%","57.89%","53.91%"
"15","Simon Isphording","15","56.01%","62.5%","54.57%"
"16","Stefan Gussenhoven","15","53.74%","58.82%","55.86%"
"17","Felix Watermann","15","50.93%","57.89%","51.88%"
"18","Michael Joseph Purcell","15","50.23%","61.11%","51.2%"
"19","Haron Tuin","15","48.2%","58.82%","49.59%"
"20","Jonathan","15","45.76%","68.75%","46.42%"
"21","Tim Bunnik","15","44.44%","57.89%","46.54%"
"22","PotestasNecis","13","63.95%","58.82%","61.32%"
"23","Benjamin Mul","13","61.86%","64.71%","56.88%"
"24","Jelle Schneider","13","60.5%","62.5%","55.74%"
"25","Wilson","13","55.73%","57.89%","52.76%"
"26","Hidde van 't Verlaat","13","52.93%","58.82%","49.64%"
"27","Jörg Vondenhoff","13","48.64%","57.89%","50.3%"
"28","Gus Vanpoucke","13","48.18%","61.11%","46.9%"
"29","Vitaly Svetlov","13","44.12%","55.56%","45.95%"
"30","David Horvath","12","66.62%","58.82%","59.04%"
"31","Julian Dornebusch","12","65.99%","52.94%","62.21%"
"32","Thomas Wood","12","61.86%","58.82%","59.85%"
"33","Leonardo Paternotte","12","59.86%","47.06%","60.54%"
"34","Nicolas Bordenabe","12","58.8%","58.82%","51.47%"
"35","ruben drabbels","12","57.78%","58.82%","50.66%"
"36","Marius Bergwerff","12","56.8%","58.82%","54.3%"
"37","Toon de Vet","12","54.76%","62.5%","53.68%"
"38","Mario Giordano","12","54.42%","52.94%","55.04%"
"39","OwenP","12","50.61%","58.82%","51.33%"
"40","jarno polhuijs","12","49.89%","62.5%","53.8%"
"41","Oscar Francisco","12","48.52%","52.94%","50.52%"
"42","Francesco Agnesi","12","47.86%","57.89%","47.99%"
"43","Tomas Gonzalez","12","47.71%","61.11%","47.77%"
"44","Stefan Pouwelse","12","46.5%","62.5%","46.84%"
"45","Ben van Wijk","12","44.74%","66.67%","49.48%"
"46","Vincent Zwinkels","12","44.39%","47.37%","48.74%"
"47","Neil","12","43.39%","57.89%","43.58%"
"48","Tobias van Kersbergen","12","42.71%","64.29%","46.24%"
"49","Robbert","12","41.69%","52.63%","43.55%"
"50","Marcel Hogewoning","12","39.95%","57.89%","43.07%"
"51","Koen Zuidberg","11","47.52%","53.33%","48.37%"
"52","Alexander Boon","10","61.86%","44.44%","57.81%"
"53","Floris Heins","10","52.97%","50%","51.94%"
"54","Patrick Heijna","10","50.93%","47.06%","50.85%"
"55","Timo Vogelfänger","10","50.2%","44.44%","49.71%"
